TAP_Chains_Name	Bypassreg	SIZE	Fublets	MIFS	Instance	ChainName	PowerDomain	ControlPowerSupply
			IDVLLC010.addr	e8xmidvtdnhmif	ccf.llcdatap0h0wrapper.llcdatap0h0.llc_idv1.idvllc010.e8xmidvtdnhmif_wrap.e8xmidvtdnhmif	ccf_chain_1	vss()	N/A
TAP CBO1	IDVCTL	SIZE = 144;	IDV_CHAIN					
			IDVCBO020.addr	e8xmidvtdnhmif	ccf.cbopair0wrapper.cbopair0.cbotop.cbo_idv.idvcbo020.e8xmidvtdnhmif_wrap.e8xmidvtdnhmif	ccf_chain_0	vss()	N/A
			IDVTAG010.addr	e8xmidvwdnhmif	ccf.cbopair0wrapper.cbopair0.tagtop_idv.idvtag010.e8xmidvwdnhmif_wrap.e8xmidvwdnhmif	ccf_chain_0	vss()	N/A
			IDVCBO010.addr	e8xmidvtdnhmif	ccf.cbopair0wrapper.cbopair0.cbotop.cbo_idv.idvcbo010.e8xmidvtdnhmif_wrap.e8xmidvtdnhmif	ccf_chain_0	vss()	N/A
TAP CBO1	IDVCTL_LLC0	SIZE = 85;	IDV_CHAIN					
			IDVLLC025.addr	e8xmidvtdnhmif	ccf.llcdatap0h0wrapper.llcdatap0h0.llc_idv1.idvllc025.e8xmidvtdnhmif_wrap.e8xmidvtdnhmif	ccf_chain_1	vss()	N/A
			IDVLLC020.addr	e8xmidvtdnhmif	ccf.llcdatap0h0wrapper.llcdatap0h0.llc_idv1.idvllc020.e8xmidvtdnhmif_wrap.e8xmidvtdnhmif	ccf_chain_1	vss()	N/A
			IDVLLC010.addr	e8xmidvtdnhmif	ccf.llcdatap0h0wrapper.llcdatap0h0.llc_idv1.idvllc010.e8xmidvtdnhmif_wrap.e8xmidvtdnhmif	ccf_chain_1	vss()	N/A
TAP CBO1	IDVCTL_LLC1	SIZE = 85;	IDV_CHAIN					
			IDVLLC025.addr	e8xmidvtdnhmif	ccf.llcdatap0h0wrapper.llcdatap0h0.llc_idv1.idvllc025.e8xmidvtdnhmif_wrap.e8xmidvtdnhmif	ccf_chain_1	vss()	N/A
			IDVLLC020.addr	e8xmidvtdnhmif	ccf.llcdatap0h0wrapper.llcdatap0h0.llc_idv1.idvllc020.e8xmidvtdnhmif_wrap.e8xmidvtdnhmif	ccf_chain_1	vss()	N/A
			IDVLLC010.addr	e8xmidvtdnhmif	ccf.llcdatap0h0wrapper.llcdatap0h0.llc_idv1.idvllc010.e8xmidvtdnhmif_wrap.e8xmidvtdnhmif	ccf_chain_1	vss()	N/A
TAP CBO2	IDVCTL	SIZE = 144;	IDV_CHAIN					
			IDVCBO020.addr	e8xmidvtdnhmif	ccf.cbopair0wrapper.cbopair0.cbotop.cbo_idv.idvcbo020.e8xmidvtdnhmif_wrap.e8xmidvtdnhmif	ccf_chain_0	vss()	N/A
			IDVTAG010.addr	e8xmidvwdnhmif	ccf.cbopair0wrapper.cbopair0.tagtop_idv.idvtag010.e8xmidvwdnhmif_wrap.e8xmidvwdnhmif	ccf_chain_0	vss()	N/A
			IDVCBO010.addr	e8xmidvtdnhmif	ccf.cbopair0wrapper.cbopair0.cbotop.cbo_idv.idvcbo010.e8xmidvtdnhmif_wrap.e8xmidvtdnhmif	ccf_chain_0	vss()	N/A
TAP CBO2	IDVCTL_LLC0	SIZE = 85;	IDV_CHAIN					
			IDVLLC025.addr	e8xmidvtdnhmif	ccf.llcdatap0h0wrapper.llcdatap0h0.llc_idv1.idvllc025.e8xmidvtdnhmif_wrap.e8xmidvtdnhmif	ccf_chain_1	vss()	N/A
			IDVLLC020.addr	e8xmidvtdnhmif	ccf.llcdatap0h0wrapper.llcdatap0h0.llc_idv1.idvllc020.e8xmidvtdnhmif_wrap.e8xmidvtdnhmif	ccf_chain_1	vss()	N/A
			IDVLLC010.addr	e8xmidvtdnhmif	ccf.llcdatap0h0wrapper.llcdatap0h0.llc_idv1.idvllc010.e8xmidvtdnhmif_wrap.e8xmidvtdnhmif	ccf_chain_1	vss()	N/A
TAP CBO2	IDVCTL_LLC1	SIZE = 85;	IDV_CHAIN					
			IDVLLC025.addr	e8xmidvtdnhmif	ccf.llcdatap0h0wrapper.llcdatap0h0.llc_idv1.idvllc025.e8xmidvtdnhmif_wrap.e8xmidvtdnhmif	ccf_chain_1	vss()	N/A
			IDVLLC020.addr	e8xmidvtdnhmif	ccf.llcdatap0h0wrapper.llcdatap0h0.llc_idv1.idvllc020.e8xmidvtdnhmif_wrap.e8xmidvtdnhmif	ccf_chain_1	vss()	N/A
			IDVLLC010.addr	e8xmidvtdnhmif	ccf.llcdatap0h0wrapper.llcdatap0h0.llc_idv1.idvllc010.e8xmidvtdnhmif_wrap.e8xmidvtdnhmif	ccf_chain_1	vss()	N/A
TAP CBO3	IDVCTL	SIZE = 144;	IDV_CHAIN					
			IDVCBO020.addr	e8xmidvtdnhmif	ccf.cbopair0wrapper.cbopair0.cbotop.cbo_idv.idvcbo020.e8xmidvtdnhmif_wrap.e8xmidvtdnhmif	ccf_chain_0	vss()	N/A
			IDVTAG010.addr	e8xmidvwdnhmif	ccf.cbopair0wrapper.cbopair0.tagtop_idv.idvtag010.e8xmidvwdnhmif_wrap.e8xmidvwdnhmif	ccf_chain_0	vss()	N/A
			IDVCBO010.addr	e8xmidvtdnhmif	ccf.cbopair0wrapper.cbopair0.cbotop.cbo_idv.idvcbo010.e8xmidvtdnhmif_wrap.e8xmidvtdnhmif	ccf_chain_0	vss()	N/A
TAP CBO3	IDVCTL_LLC0	SIZE = 85;	IDV_CHAIN					
			IDVLLC025.addr	e8xmidvtdnhmif	ccf.llcdatap0h0wrapper.llcdatap0h0.llc_idv1.idvllc025.e8xmidvtdnhmif_wrap.e8xmidvtdnhmif	ccf_chain_1	vss()	N/A
			IDVLLC020.addr	e8xmidvtdnhmif	ccf.llcdatap0h0wrapper.llcdatap0h0.llc_idv1.idvllc020.e8xmidvtdnhmif_wrap.e8xmidvtdnhmif	ccf_chain_1	vss()	N/A
